mssv,namsinh,gioitinh,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8
271545D2XPvAibaEXe9/su+qLcYDMqX5LRATm4Zu,1995,1,6.22,6.34,8.0,7.3,6.9,6.81,7.57,7.9
271B286AXPvAibaEXe9CFhTkHod3yfY0OnaNvlXt,1998,1,4.75,0.78,7.11,5.09,6.88,5.19,7.21,7.52
271E1C78XPvAibaEXe9mCnb3+Zz/PczZ4KkugInl,1996,1,7.35,7.11,7.35,7.2,7.42,6.11,8.18,7.98
2721A754XPvAibaEXe9HkCcrMxoMGWOdNNI3v/5E,0,-1,7.99,7.6,6.63,7.08,7.47,6.42,7.04,3.54
2722A377XPvAibaEXe92d/TS+efd1zWiarjvTxfN,0,-1,7.99,7.43,7.46,8.1,7.39,7.55,6.72,6.4
272641D4XPvAibaEXe++18r4MyQUquji6jBT0cwG,0,-1,8.49,8.88,8.33,8.0,7.89,8.59,8.49,8.61
2726664BXPvAibaEXe9PMniL1hA1yg9LE/8ouTLA,0,-1,6.01,7.39,6.21,5.16,4.75,4.6,7.16,6.06
27287D52XPvAibaEXe+g+689Av0WQ2TzEcelm+th,2001,1,5.94,3.92,5.45,6.47,6.98,2.08,4.86,4.18
272F2A74XPvAibaEXe+ba4DZYrt+PKPplgRlYVJo,2001,0,8.11,7.97,7.98,8.3,8.16,8.23,8.49,8.67
2737F76CXPvAibaEXe9GRgvaz8PQ0hUNejYZQL68,0,-1,6.52,5.28,6.37,7.34,5.73,6.35,6.4,6.33
273F3C32XPvAibaEXe9EUO2qxCH07YfQZ7MY5A1B,1998,1,5.69,4.63,5.5,4.28,5.84,6.54,6.28,7.25
2748110FXPvAibaEXe8zN2KKhdLFunzw+E+dOEKN,2000,1,8.86,7.35,7.2,7.69,7.52,8.08,8.01,6.26
274E9CD8XPvAibaEXe9g/zM5tup2BXGKSFjL51cp,0,-1,7.41,7.96,7.62,8.22,8.75,8.73,8.45,8.65
274FB275XPvAibaEXe+ItThaeWSaTjA1i5TggkW2,1999,1,8.28,7.72,8.04,6.65,7.87,8.13,7.98,7.55
274FD8CDXPvAibaEXe9G0KjvrV48k8S3zK0SAn6z,0,-1,9.1,8.4,8.35,8.5,8.5,8.33,8.17,8.09
27517DE4XPvAibaEXe+HLUCsScXdBkYsKuBAHxZU,0,-1,6.51,4.12,4.11,5.32,4.21,5.72,5.69,5.01
2758EF93XPvAibaEXe9QVsCW2codOY5HidKctFNb,2000,1,5.43,5.79,3.87,6.63,5.39,6.84,5.89,4.36
275A4E2AXPvAibaEXe/iDuY0411CJlnz8HbavnWp,1995,1,6.29,7.16,8.4,7.19,7.28,6.94,6.22,7.94
27627AD6XPvAibaEXe/dzmB8igeRMBnI8ZmWPjTQ,0,-1,8.28,8.54,8.03,8.83,8.56,8.82,8.35,8.68
27727670XPvAibaEXe/QWjvABg0+vdPS00TNxXjP,1999,1,4.95,5.91,4.96,5.16,3.88,5.36,6.66,6.4
2773033DXPvAibaEXe/45+b0LBlJ7DcasbYNV/NV,1997,1,7.64,5.56,5.85,5.76,5.86,6.69,6.55,5.13
2780D5C0XPvAibaEXe+M91Hzrx3qMNHPQou8chAN,2001,0,6.43,6.11,5.48,7.45,5.92,4.69,5.54,5.71
27825AC1XPvAibaEXe9wgACCA7SCWZEehS2D11JB,2000,1,7.26,6.4,6.61,6.36,3.66,3.95,8.09,5.87
278D4AE2XPvAibaEXe8BgizbbFNDi3GT2ajTElqg,0,-1,8.76,9.11,8.12,8.8,8.93,8.73,8.87,8.38
2795AB4FXPvAibaEXe8p9EUNm1rzjrbq0hrSdtIr,0,-1,4.93,7.37,7.91,5.9,7.45,6.91,6.66,8.27
279DD911XPvAibaEXe9e5yvZyP+PzsQtLXV2NZdw,0,-1,8.71,8.63,8.27,6.16,6.08,6.49,6.97,5.91
27A2126FXPvAibaEXe+sosjdwIA4L0Dz7OWNOFrH,0,-1,6.3,2.63,5.56,4.21,4.57,5.36,5.18,6.56
27A2C55BXPvAibaEXe8YD29zP3MXD6Kixuku5+Qt,2001,0,8.25,7.58,5.42,2.6,4.6,3.59,1.0,1.28
27A62100XPvAibaEXe+/1KYXP+fweJyZsRuyxmIg,1998,1,4.73,4.66,7.09,5.94,6.97,6.75,5.98,7.59
27B74611XPvAibaEXe+M8kZrNqSN450S7T/QsHnG,0,-1,8.51,8.58,7.45,8.57,8.63,8.53,8.74,8.85
27C44449XPvAibaEXe+Ee/bNoyDJsiEhLWZq+MLD,2001,1,6.59,6.43,6.86,8.69,8.12,8.15,8.05,8.25
27C73C4CXPvAibaEXe83V/kFvw2bBek/NsGNfC2g,1994,1,6.39,6.58,7.02,7.34,7.6,7.67,6.96,5.63
27CEF7A9XPvAibaEXe/yn0DHlpTGLZTNhJuPPdHz,0,-1,6.54,7.63,7.82,7.06,6.9,7.03,7.12,6.91
27DE8F0CXPvAibaEXe+4XPPXlKRz0OOesUWAG4OI,1997,1,9.41,7.82,8.45,7.97,8.44,8.12,8.98,9.2
27DEED3DXPvAibaEXe+wVOsoF63SsFd2Mp70LIMr,1998,1,7.91,5.97,7.91,7.06,7.28,7.23,4.06,6.72
27E67589XPvAibaEXe+scFiZmHq8sQybPFJiDnIs,0,-1,7.28,7.6,7.53,7.31,6.86,7.5,8.04,7.68
27EC8551XPvAibaEXe/Ep1mHRpPbrLtblYsMpLBb,1999,1,6.6,7.85,7.71,7.37,7.5,5.88,5.93,6.23
2806A650XPvAibaEXe/EvmuerN6w1BqpmgVv4ERT,1999,1,7.58,7.19,6.68,6.95,7.79,7.38,6.87,8.1
280C7EA5XPvAibaEXe/Lh6v1XxTKJQPUP8Q5F4WX,1995,1,5.23,4.19,4.97,3.33,3.1,4.23,1.67,2.76
280F7F2EXPvAibaEXe/TOGeH6x1BlQUztAN4ABTM,2001,1,7.72,7.78,4.78,7.27,8.2,7.26,2.73,5.09
28142A5CXPvAibaEXe+0Dwp+QXLoYvm0snhYVYqO,1999,1,6.2,6.06,5.16,0.13,3.69,5.22,4.65,5.35
2817042FXPvAibaEXe+AkyY0LvshNt7rrPNcw5H4,2000,0,6.81,5.24,4.85,6.87,7.62,5.99,7.04,6.98
2817A649XPvAibaEXe9tVd6vhP62h/qBPlmt3VOS,2000,1,7.55,7.69,7.59,8.31,8.34,7.8,8.14,8.6
281AA27AXPvAibaEXe+2s2LZmFpY2k487OrNCG/f,0,-1,8.69,8.69,8.26,7.41,7.61,8.61,8.43,8.87
281E27A9XPvAibaEXe/8XquPxT92g9RCrQTNdrzV,0,-1,7.49,7.39,7.87,8.11,7.8,7.44,7.91,7.91
282249E0XPvAibaEXe8a4mdANazFZKlE4QIAu/Rh,1996,1,5.84,4.45,6.24,4.93,6.24,5.31,5.98,5.96
2827D079XPvAibaEXe+zCbAzes7YilbHK0cAkz5A,1997,1,8.45,6.96,7.31,6.47,6.49,6.83,7.69,8.06
282CA119XPvAibaEXe9dKITjhF3qTS8bWsVwuMgW,1997,1,6.99,2.7,2.07,4.15,5.0,3.11,3.72,1.66
28308267XPvAibaEXe+1exR/9VxBIwqeKilef56y,2001,1,6.63,7.52,7.61,8.52,8.11,8.54,9.25,8.54
28318D8AXPvAibaEXe/33FMzfi5meeo/GWHMm4x4,0,-1,6.5,6.04,5.64,2.34,1.5,2.08,3.99,3.23
2831E8F2XPvAibaEXe+KnWgScvZ27CM2SgQYi6kV,2000,1,6.28,7.13,8.31,7.32,7.07,7.8,6.05,5.58
283547DFXPvAibaEXe+sRe0ac318A0E7b0zNbYpD,1996,1,6.35,6.25,7.33,6.77,6.05,7.39,7.76,8.3
283D4053XPvAibaEXe/WTR5UGsYutNLeR8bf2KAJ,1998,1,8.02,7.13,7.53,6.87,7.63,8.3,8.34,9.07
2842930CXPvAibaEXe+tD6vl/s398DL/WSs9Bwmb,0,-1,3.49,4.9,5.26,5.23,4.33,6.16,5.71,6.28
2842B3D8XPvAibaEXe8VdV75E6kcrtW4E4BntvYI,1996,0,8.62,7.71,7.41,8.69,8.46,7.8,9.09,9.2
2845D620XPvAibaEXe83j+j2N9N4IqLq6cxxQ3c0,0,-1,8.62,9.09,8.89,8.71,7.99,8.46,8.79,8.82
284A2135XPvAibaEXe+AdDQ9dDabO0fMh2wGcQkX,2000,1,6.15,7.88,6.19,0.49,4.49,7.57,7.59,7.12
2850C99FXPvAibaEXe8XLyAGr26H4/VLzSonUuXk,1999,1,5.02,3.71,6.41,7.1,6.61,7.26,7.41,7.27
2861A2F5XPvAibaEXe+RcXBCh0sWXrJXdBsETeYr,0,-1,8.9,9.01,9.39,8.96,8.63,8.8,8.73,8.71
28738743XPvAibaEXe+LaXEhdAaoNNFAwEYqhEoa,2001,1,7.45,6.55,6.41,6.82,5.37,7.91,7.02,6.68
28745714XPvAibaEXe/el9TRAKM7gfOI2Nkj3YTT,2001,0,7.5,8.56,8.1,8.52,9.0,8.23,8.64,8.91
287667F4XPvAibaEXe++18r4MyQUqrsX2PtHsvEx,0,-1,4.87,1.76,2.88,4.51,5.05,4.16,5.5,5.08
28768CA3XPvAibaEXe+cv7qSCYkQeoJYs7nj4X0r,1998,1,7.92,2.45,7.7,5.15,7.46,7.36,7.33,7.58
28782E66XPvAibaEXe9urngX21O5XTw+ZF1tUpQT,2001,0,8.96,7.91,7.28,5.51,8.32,8.57,9.35,8.55
287B2447XPvAibaEXe+aSLBxO6xKaLbymZ6Lo09I,0,-1,8.46,8.81,8.1,8.23,8.12,8.56,8.23,9.43
287EB7D8XPvAibaEXe/tHzSgYcYugiCSLma3MtUV,2000,1,5.58,8.07,6.55,7.83,7.09,6.81,8.4,7.33
28807FE1XPvAibaEXe8k9aD0YXzUPpNUUND3x7rK,1995,1,6.18,8.5,8.23,8.35,8.02,8.54,8.46,8.94
28819EC9XPvAibaEXe/gedqgAoZhaxXchuFOeLRw,0,-1,7.36,6.12,5.71,7.72,6.49,6.36,6.88,6.92
2882595BXPvAibaEXe9Fy2hCq9OiAx0s+TMBlscg,1999,1,7.09,6.93,6.39,6.53,6.58,5.29,7.98,7.42
288E4445XPvAibaEXe8iGDMJikW1wv69BjaGCsB1,1998,1,6.43,6.43,5.87,7.92,7.32,7.12,7.85,6.9
289BA10BXPvAibaEXe87069oyWO+IXrSVrxmdC6P,1998,0,8.6,8.08,8.38,8.62,8.49,8.82,8.53,8.0
28A49A8BXPvAibaEXe81fV8vPRwD6Lnl35EWVuyL,2001,1,8.36,8.47,7.4,8.35,8.55,7.3,7.08,7.39
28A90BB1XPvAibaEXe/1obfbwrsd54YNWSleaWUM,1996,1,5.04,3.42,4.99,4.31,1.45,2.51,6.7,6.47
28AF632AXPvAibaEXe/iGey/Hml5uqTu+Pin9ZPX,1999,1,7.5,7.1,7.58,7.58,7.62,8.13,8.28,8.4
28BA21D6XPvAibaEXe90ZzX2oanjjs5FxU3lHZPx,1998,1,5.21,3.31,4.21,3.21,6.57,6.72,3.94,3.0
28BFA28FXPvAibaEXe+9W+M5mn1fin5eP5kp1R8a,0,-1,8.57,8.31,7.73,7.54,7.76,7.86,8.34,8.3
28C14421XPvAibaEXe/JRR+qhRXMm5NhgpBnOkS5,1998,1,7.48,7.44,7.85,7.35,7.6,7.78,8.73,8.57
28C19337XPvAibaEXe+pxEcdKHND3FX5BKOHUV+1,0,-1,7.48,7.63,6.78,7.22,7.6,8.1,8.43,7.77
28C5FFE3XPvAibaEXe8oET1/EVZ+Wr1LoDqRLYoL,2000,1,6.7,6.89,7.16,6.96,7.86,7.43,8.18,8.96
28C6D42AXPvAibaEXe/S5mChdnrLmzLOZjAdbd+w,1996,1,4.35,3.83,5.62,4.47,6.69,5.01,5.37,6.91
28C7CF37XPvAibaEXe8XtTI6VHhlKHn5DFEv+QeE,2000,1,7.51,6.75,7.45,7.65,7.33,8.8,7.9,8.0
28CF93E7XPvAibaEXe8WajRPpOtnV86e+1h1qO48,0,-1,8.6,6.58,6.29,7.08,7.09,6.65,6.16,6.57
28DDDA95XPvAibaEXe8g5zf2LUpe/NI26Q0pSlT+,0,-1,6.94,6.81,9.14,8.85,9.14,8.73,8.7,8.56
28E48F0BXPvAibaEXe+Y2Dmraxe1iZnkzf6f17wP,1998,1,8.07,8.92,8.55,8.29,8.33,8.67,8.71,10.0
28E797B6XPvAibaEXe9CNoSsNIodZ1rZLISZ6QBz,1999,1,8.39,6.71,6.23,7.69,6.96,8.19,6.0,7.5
28EB9D7BXPvAibaEXe9c74uZL4Z38AW1TNa0yK1D,0,-1,9.31,8.97,8.65,8.69,8.76,8.83,7.96,9.11
28EC2D4BXPvAibaEXe/VQHzzHDYACQA1Rf9I0rIX,2001,1,9.26,8.2,8.21,9.21,8.66,8.49,6.47,6.55
28F6E5E2XPvAibaEXe8UBGVVSBKSkgHdFRn4cEDg,1998,0,8.74,7.51,7.31,6.2,6.5,5.54,5.26,7.14
28FFB16BXPvAibaEXe/HUuIVo8uCR6f4HDAjMdvh,1999,1,4.24,2.97,5.05,3.9,3.67,4.72,3.63,6.04
2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0,1998,1,7.37,5.81,7.13,6.23,7.43,7.29,8.1,7.8
29026B5FXPvAibaEXe+y4Ivhjp8Sxrc1fKZ69ukD,1995,1,7.48,7.84,7.55,7.95,7.8,7.88,8.18,8.6
2903B1BBXPvAibaEXe/QLz2rC0qlTKpaRVC3g1Ox,2000,1,7.79,5.75,6.92,6.69,7.62,7.63,8.34,8.25
29046716XPvAibaEXe83V/kFvw2bBR3WiVsBjF7n,1995,0,7.36,8.3,7.61,7.42,7.93,8.77,8.86,8.68
2909662DXPvAibaEXe9Hp2TeoSwCGQEHbesrw4xg,1998,1,5.12,6.1,6.06,7.62,6.4,7.38,7.25,7.43
290C5D12XPvAibaEXe9WkeUltvPYd4rkf5+/ddTa,1999,1,6.82,6.01,5.75,4.86,2.76,7.14,5.85,8.01
290CB431XPvAibaEXe83RuGSO94CqzABPVbri0Fj,2001,0,7.29,6.37,7.15,8.33,8.42,8.28,8.11,7.98
291A2F59XPvAibaEXe9JDlHA4z2GHNI7amxrOxT7,1995,1,4.16,1.86,4.78,2.36,3.88,3.85,3.83,5.29
291AD457XPvAibaEXe/w5GZwSM37/+YL2PlyTSbM,2000,1,8.11,6.99,7.28,7.82,7.71,8.4,9.11,9.07
291E4457XPvAibaEXe9AY13hBxopPVDKStZUFslW,0,-1,8.55,8.22,7.5,7.95,8.02,8.0,7.17,8.34
29297150XPvAibaEXe86krjHGvaiWzz9rU2gYi/y,1996,1,6.75,6.9,7.11,7.58,7.57,7.55,7.8,9.0
292A16A3XPvAibaEXe/FejQN8/S5fLl7v93zX8+w,1995,1,6.84,6.84,7.79,7.73,8.41,8.22,8.26,8.26
2935531CXPvAibaEXe+fBpTg8OXouklKrc9OO2/C,1999,1,5.43,4.09,5.01,6.32,5.78,6.35,7.06,6.05
29397256XPvAibaEXe/pmLsWv14ojGsWCnxESKnY,1999,1,7.51,7.95,8.3,8.39,7.96,7.65,7.0,7.97
293AAC7CXPvAibaEXe/J0r+JN9xEWZhWsiAzZb3a,2001,1,7.79,7.26,7.64,7.48,8.14,6.58,6.44,7.13
293AD60DXPvAibaEXe+TUHAdEwrOx+CnJmDYnZhL,2000,1,5.85,3.84,3.34,5.32,3.9,6.12,5.57,6.3
293E071DXPvAibaEXe9e5yvZyP+PzoWlYF6YGSDL,0,-1,8.44,8.19,8.51,8.14,8.11,8.23,8.49,8.55
29418E5AXPvAibaEXe9WgQQLl7rkk4fctYOOBzzg,1998,1,7.09,6.31,7.87,8.04,7.77,7.1,7.73,7.2
29430069XPvAibaEXe+TFgEDwYNnvUaz/ItEjR3K,1995,1,5.52,7.38,7.36,7.47,7.03,7.71,7.3,8.3
2944B7A1XPvAibaEXe8Hg3TLdpkUkp+I/MFcb7ja,0,-1,7.24,7.27,7.13,6.09,6.3,6.61,5.93,5.12
2946D276XPvAibaEXe/B5ptYzPZ33jD/O1KXkqsc,2001,0,7.23,6.9,7.33,7.47,7.79,7.48,7.92,8.57
2950ABFDXPvAibaEXe/QLz2rC0qlTNuK706z0bjb,2000,1,8.04,7.61,7.64,7.47,7.6,8.21,8.11,7.74
29545CC9XPvAibaEXe9hweWHK/GxsGmSbmxJ4PJR,1998,1,6.02,5.31,6.79,6.06,6.56,6.23,6.62,7.07
295D810DXPvAibaEXe9w3p4OJXtSaO3ho0joVaGm,2000,1,6.38,6.86,6.01,7.16,7.18,8.58,7.87,6.89
296B4EDCXPvAibaEXe+Eq5yVDvOLCqZym9/mcUNr,0,-1,8.19,8.54,8.52,8.66,7.17,8.5,8.34,8.32
296F5400XPvAibaEXe9Xj8SSEVd/jZoAV4AKElvK,0,-1,5.99,6.52,7.29,6.67,6.94,7.24,6.66,6.89
2974F9D5XPvAibaEXe+lwq621ApacRtRVVgBsUrf,1995,0,7.02,5.47,6.76,7.92,8.1,7.92,8.02,8.8
297CC4CCXPvAibaEXe9Zp44TyFcBSM+WoXMqOj0T,2001,1,0.9,0.69,3.82,5.93,3.12,1.78,4.53,6.62
2981F419XPvAibaEXe+wpuhQQTXxIgcvcM7JIfPF,0,-1,8.29,8.8,8.57,7.28,8.0,7.34,8.33,8.39
2987F89FXPvAibaEXe9ZBnO1fewQMZQYKCfG9v+Z,2001,1,8.05,7.56,6.98,8.11,7.78,6.91,8.38,7.57
298C9242XPvAibaEXe8QSVVyFBgPnyyNG08W46Dl,2000,1,5.81,5.76,6.59,6.55,6.54,7.34,7.42,8.05
299EF5B3XPvAibaEXe/PfwiDaLddEsuijvG9UHyb,2001,0,6.51,4.61,5.14,1.07,4.75,6.43,7.17,6.2
29A3861CXPvAibaEXe+xfOnwfIRiG4qfgAMFiprj,0,-1,7.46,7.52,6.9,6.87,7.17,7.43,7.21,7.28
29B1E2ACXPvAibaEXe+tKwu+Ol4th4EfdFoZiY9j,1998,1,7.52,7.83,8.8,8.52,7.14,8.35,7.91,6.75
29C09889XPvAibaEXe8dZIB3odxynhtkSv0G/qxR,1996,1,3.73,5.24,6.12,5.04,5.51,5.32,6.61,6.73
29C85D60XPvAibaEXe8qBtIUs9INC/pF8ftvBlnc,1998,1,6.02,5.88,6.98,6.29,7.11,6.94,8.15,7.8
29C88198XPvAibaEXe+b6DqXDWl+uydDZDeXPiZm,2001,1,8.16,7.89,8.36,8.77,8.53,8.37,7.84,8.56
29DAC8E5XPvAibaEXe9iKIRwqei6/AabAAzMbpha,1995,1,4.66,5.32,5.0,6.55,6.1,5.91,5.94,6.3
29DF8880XPvAibaEXe8qh9FRNDK+MdJj6YmUts3P,1999,1,2.79,1.05,3.67,2.49,3.83,5.06,4.21,5.06
29F018BBXPvAibaEXe82B8VnNvUD6EmCkyCUxedi,2000,1,8.18,8.35,7.66,7.93,7.41,7.93,8.38,5.87
29F42837XPvAibaEXe/gIcGl0ROHR1eo2yixY9vE,0,-1,7.09,6.4,7.09,7.41,7.11,7.56,7.87,7.31
2A00DEB4XPvAibaEXe/V63KvIWwakH2c4+47rvAQ,1999,1,6.43,6.7,5.37,6.71,7.19,7.38,7.91,7.95
2A0444D8XPvAibaEXe8YlvtcvZCDlX6HDq24dliV,1999,1,5.27,5.02,6.58,6.9,6.58,4.89,4.85,6.31
2A0595D9XPvAibaEXe/YiexZYoq8n+O9NW7PU1Ee,1998,1,5.81,6.06,6.71,6.79,6.11,6.83,7.02,6.36
2A0614D5XPvAibaEXe/y2t7DVG8TDUYXt5JeYGwe,1996,1,6.38,5.72,5.65,7.23,6.89,7.43,7.7,5.67
2A09B587XPvAibaEXe86mMJZ3W/SqW09pc/E89P4,0,-1,6.89,2.75,2.67,6.23,6.45,5.55,6.01,4.71
2A130168XPvAibaEXe92Umf5pb/ttokcv74N9o3t,2000,0,8.53,8.35,8.0,8.52,7.77,8.16,8.48,8.17
2A189EF7XPvAibaEXe8l2SPBJihvxTu9bGGxA/Li,1999,1,4.98,5.33,2.13,4.36,2.75,2.31,4.9,3.01
2A1CE9C9XPvAibaEXe86ShnmDByrmwlM6+Yi6Z7F,1998,1,6.77,7.21,7.21,6.68,7.23,6.65,6.49,8.65
2A206F37XPvAibaEXe8e/5ryJ9YpuSLV/el+HbgI,1996,0,8.15,5.28,7.18,8.12,7.85,7.08,7.71,6.97
2A253C75XPvAibaEXe+Ld9vP5I9+1sUkl9n3Th95,1996,1,8.15,7.78,8.1,8.11,6.38,6.55,7.15,7.91
2A2740E7XPvAibaEXe+k6G3KryMpVOLvy7TmeIUo,0,-1,8.66,7.31,7.38,7.44,7.85,7.33,7.89,7.51
2A2D8E6CXPvAibaEXe8KuJNEATWS89b4oRpsL96o,1999,1,6.96,7.24,6.92,6.6,6.15,7.37,7.22,0.92
2A411D72XPvAibaEXe+kxAnFBxXHpUSyIha1kjwW,0,-1,7.6,6.93,6.95,7.96,8.06,7.59,7.57,8.29
2A42D119XPvAibaEXe9wxm0WjsXoKurN8WqpVtfd,1998,1,7.57,7.02,8.1,7.19,8.99,8.08,6.98,8.12
2A4A74CBXPvAibaEXe+TQJLvJOj4Ba8qrKoJg0ub,1996,0,7.62,7.43,8.03,7.86,6.2,7.11,8.19,8.32
2A4B3B01XPvAibaEXe8xE9+hjZHGknkDxCU4EVe4,0,-1,6.97,8.34,7.36,7.58,8.2,8.08,8.06,7.41
2A4B697EXPvAibaEXe+sQSfsqovN9xT08z6XHdzn,2000,1,7.58,6.34,7.37,8.02,6.84,8.4,8.64,9.25
2A4C29F7XPvAibaEXe8AZtBFxjm6svc2hhMWCL9i,0,-1,6.64,7.1,5.4,6.35,7.18,6.56,7.42,6.08
2A4DBBCCXPvAibaEXe8IVQevnJpgRt75CXXW+NSw,0,-1,8.54,8.03,8.14,8.03,7.7,7.8,7.82,8.82
2A5050FEXPvAibaEXe+MR0BPJNCxyZ+Hy8X8/82R,2000,1,7.74,8.53,8.84,8.06,8.55,9.3,8.94,8.5
2A54B478XPvAibaEXe8PE7OhkznXKyKObG34zvdO,0,-1,6.02,6.9,6.78,6.33,5.93,5.24,5.0,7.55
2A5AEAA1XPvAibaEXe84VpdW+Wraov0JWLuxUszK,0,-1,7.0,7.8,8.21,7.29,7.8,6.5,5.44,6.68
2A5DF9EAXPvAibaEXe8w1z3B0Nfbk4XQ5sNmyWnz,0,-1,6.69,7.89,8.19,8.37,8.16,8.78,8.8,8.53
2A600D08XPvAibaEXe/cg9419ghLE1CAOgzUwmgz,1996,1,7.96,8.47,8.89,9.37,8.45,9.17,8.41,10.0
2A67FC28XPvAibaEXe8Z5hiNBvM0RQ+3kAQPph7F,2001,1,5.72,7.25,6.65,7.45,8.07,7.49,8.58,8.5
2A6FAB56XPvAibaEXe/IOsuN/I5gh/8Jfgdvjfl9,1999,1,7.53,8.35,8.2,8.85,8.52,8.24,7.27,8.66
2A74F88BXPvAibaEXe8n5o9RyAxUM/skFtagmfhD,1999,1,5.27,2.16,4.44,1.67,2.49,2.61,3.7,1.71
2A792560XPvAibaEXe9gkNN06c3nLV4jpNl00QZq,0,-1,7.37,7.96,7.57,7.85,6.87,7.12,7.55,8.09
2A7EF77DXPvAibaEXe/nRR7q+hWy3NoZTBjSr5/Z,1996,1,7.41,6.7,7.64,7.22,8.07,8.43,8.19,8.6
2A8A1E92XPvAibaEXe9x0CaUg4pZoxy78IQ6wez6,1996,1,5.65,5.38,6.37,6.37,5.27,4.3,6.76,5.8
2A8A9DA5XPvAibaEXe80fNfj41Ir0e7dJvQ0/FSc,0,-1,7.65,7.78,7.53,7.61,8.02,7.78,8.03,5.8
2A8DEA6AXPvAibaEXe+pfrKEojyOyzY/iEsIKAZu,1999,1,6.29,6.85,6.59,6.89,6.09,7.04,8.14,7.37
2A9139B9XPvAibaEXe+BSAh8mzSNVXN1gcYh5WWm,0,-1,6.91,7.59,7.99,8.64,8.72,8.44,8.59,9.11
2A9DED8DXPvAibaEXe9fwH3SYO7GzQlgFWB1enmf,0,-1,7.63,7.66,7.98,6.87,7.31,7.66,7.87,8.33
2AB113DFXPvAibaEXe8NoNh54Mn6M0BVr4q4qukX,1996,1,8.19,4.04,4.85,7.49,6.82,7.03,8.11,8.28
2AB355A3XPvAibaEXe9WgQQLl7rkk9EgM3vUMrzn,1998,1,6.8,2.27,6.91,6.4,6.14,6.84,6.69,6.28
2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,1995,1,7.25,8.12,8.24,8.3,7.39,8.1,8.54,8.77
2ADA0F2EXPvAibaEXe/8adMMWxG4mYrxuNNKP8zF,0,-1,8.45,8.01,8.98,8.38,8.56,8.38,8.57,8.97
2ADE2105XPvAibaEXe8X5f+vLkYyLm5FxXtBkamp,2001,0,9.68,9.18,8.73,8.73,9.48,8.87,8.44,8.61
2AE2FB4FXPvAibaEXe9pXJcjrAt8Xi98xlhrFTcD,1999,1,5.96,5.92,6.89,6.93,6.91,5.54,5.86,3.91
2AF5E003XPvAibaEXe9whL/t4cdMZVXaYO97LUGt,1996,1,8.5,8.14,7.86,7.6,7.05,7.97,7.26,0.46
2AF68DDCXPvAibaEXe/o3PWM28sNihSu5zJeoz2c,0,-1,6.58,3.85,6.26,6.12,6.54,6.74,6.36,6.48
2AF77EC1XPvAibaEXe9V50Ts4UAUsPRIR3pV2yX4,2001,1,6.84,6.0,7.23,8.85,7.9,7.98,6.18,6.13
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1998,1,6.89,5.85,7.3,6.86,7.55,7.39,7.13,7.21
2B0CA1B8XPvAibaEXe9afbyrOJH5CPpnSE4AQlhN,1996,0,6.48,6.79,6.72,6.98,6.04,6.69,7.19,6.47
2B0E955FXPvAibaEXe/t4WKrTmA45W8ys/ibnqqG,1999,1,6.87,6.64,6.96,6.75,6.27,7.75,7.57,8.44
2B14A7FDXPvAibaEXe9WcTnuikKYKkkapOSDRceM,1997,1,7.31,6.33,6.74,6.92,7.62,6.78,7.52,7.9
2B2263BAXPvAibaEXe9+m/oQf3Tjz1l76/nzM+22,1999,1,7.44,8.1,8.06,7.5,7.05,7.85,4.57,7.42
2B30319DXPvAibaEXe+mIfBKZfBRm3MZ033V04Tb,0,-1,9.65,8.93,9.16,8.08,8.54,8.35,9.04,9.44
2B31483BXPvAibaEXe+e2tIVVtPhOb3qo1SYWFWM,2001,1,9.03,8.4,8.21,8.37,9.07,8.93,9.42,8.7
2B369A53XPvAibaEXe90E3nxW1nyaZ7Qg4mup9aP,2000,1,6.8,6.75,5.57,3.0,5.67,8.8,6.45,6.57
2B4137D4XPvAibaEXe8J1cEUcgbYoclvp+OyeRbJ,0,-1,8.35,8.93,8.7,9.01,8.27,8.46,8.71,8.99
2B420AFFXPvAibaEXe/rp0ev/rDe09IWbirGddUi,1996,1,6.15,6.06,7.5,5.99,6.73,5.33,5.04,5.59
2B4A300FXPvAibaEXe8WrK/T746TF3QTX2vmx7dA,0,-1,8.44,7.87,7.69,7.7,7.68,6.82,6.91,7.92
2B4B34A5XPvAibaEXe/HJrkqSpA43TLxOdhSjB91,0,-1,8.69,7.05,8.42,7.78,7.6,8.01,8.38,8.71
2B562458XPvAibaEXe/KGOYNCaEaWSas+3hCAqLs,1993,1,8.09,6.66,5.71,3.25,6.3,6.5,6.43,0.35
2B578231XPvAibaEXe9RV3kg6cpLDAmMozUvJMwR,1997,0,6.45,3.35,3.4,5.31,5.94,7.06,5.46,6.56
2B5ED195XPvAibaEXe/sDxpKTuGnIOj/LuUu9U7H,1997,1,6.99,5.73,6.24,4.12,6.41,6.02,3.08,6.1
2B70ECDBXPvAibaEXe8Lp0YaxzdqUvDfNExAcWy7,1996,0,7.95,7.29,6.58,7.63,7.42,7.75,7.95,7.49
